                                               SPb SU 4 | Moscow IPT Zzyz | SPbSU “ÂÔÂ¸ ¡‡ |    Moscow SU SG | Moscow SU Trini |  SPb NRU ITMO 1 |          IITU 1 |    MIPT The Sun |   —œ·√” »“ÃŒ #2 |       MSU Tapir | Novosibirsk SU  |         MISIS-3 | Ural FU: It dep |       PetrSU #1 |      Viral Team | SPbSU is a ball |  Siberia United |       Dandelion | Moscow SU Nrise |          sms995 |            NCFU | Izhevsk STU Cyn |             MEX |  Where is Bobik |       SPb SU 37 |           NU #1 |  SPb NRU ITMO 5 |         SPbAU 1 |     Altai STU 1 | Novosibirsk Sta |       SibSUTI 1 | Tomsk PU: teen_ |           TSU-3 |        OmSU ADA |    ÀÂÏÏËÌ„Ë_NSU |      Tomsk PU 2 | Tomsk SU of CSR |       Khakas SU | Lyceum at Tomsk | Tomsk SU of CSR | Siberian Pandas |       DreamTeam |            WARP | Novosibirsk SU  |             LVA |    omsk_omstu_2 |        sibsuti2 | Tomsk SU of CSR |      ASU_team_1 | Per Duck: Bomb  |       God knows | 
                                                  13117 |           13118 |           13119 |           13120 |           13121 |           13122 |           13123 |           13124 |           13126 |           13127 |           13128 |           13129 |           13130 |           13131 |           13132 |           13133 |           13134 |           13135 |           13136 |           13137 |           13139 |           13140 |           13141 |           13142 |           13143 |           13144 |           13145 |           13147 |           13149 |           13150 |           13151 |           13152 |           13153 |           13154 |           13155 |           13156 |           13157 |           13158 |           13159 |           13160 |           13161 |           13162 |           13163 |           13164 |           13165 |           13167 |           13168 |           13169 |           13170 |           13171 |           13172 | 
              Novosibirsk SU 1  13128 |       0:1000000 | 1000000:      0 |       0:1000000 |  105152: 894848 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  #############  |  277778: 722222 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |  998353:   1647 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  993443:   6557 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |  856739: 143261 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |   96998: 903002 |  995074:   4926 |       0:1000000 |  976917:  23083 | 
                       MISIS-3  13129 | 1000000:      0 |  999106:    894 |       0:1000000 |  884432: 115568 |       0:1000000 | 1000000:      0 |       0:1000000 |    5348: 994652 |  998230:   1770 |  499476: 500524 |  897678: 102322 |  #############  | 1000000:      0 |       0:1000000 | 1000000:      0 |  159004: 840996 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |     965: 999035 |       0:1000000 |  311841: 688159 |  895660: 104340 | 1000000:      0 |  526835: 473165 |  653643: 346357 | 1000000:      0 |  464941: 535059 |  999173:    827 |    5618: 994382 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  702677: 297323 |       0:1000000 | 1000000:      0 | 
           Ural FU: It depends  13130 |       0:1000000 | 1000000:      0 |  272727: 727273 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |  #############  | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |  141542: 858458 | 1000000:      0 |  111686: 888314 | 1000000:      0 | 1000000:      0 |   95553: 904447 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |  100352: 899648 |  994002:   5998 |       0:1000000 | 1000000:      0 | 
                     PetrSU #1  13131 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |  #############  |  999176:    824 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  999176:    824 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
                    Viral Team  13132 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |     722: 999278 |  #############  | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  999092:    908 |  858639: 141361 | 1000000:      0 | 1000000:      0 |   97679: 902321 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  909984:  90016 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
               SPbSU is a ball  13133 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  739421: 260579 | 1000000:      0 |  218957: 781043 |       0:1000000 | 1000000:      0 | 1000000:      0 |  875351: 124649 |  892323: 107677 |       0:1000000 |       0:1000000 |  891304: 108696 |  #############  | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |  118930: 881070 | 1000000:      0 |  878319: 121681 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  734010: 265990 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  981336:  18664 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  721913: 278087 | 1000000:      0 |  722944: 277056 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
                Siberia United  13134 |       0:1000000 |  438454: 561546 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 |       0:1000000 |  737542: 262458 |       0:1000000 |  179048: 820952 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  983871:  16129 |       0:1000000 |       0:1000000 |  692839: 307161 |       0:1000000 |       0:1000000 |       0:1000000 |  518519: 481481 |       0:1000000 |  305428: 694572 |       0:1000000 |   89255: 910745 | 
                     Dandelion  13135 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |  868143: 131857 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |  286334: 713666 | 1000000:      0 |  #############  | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |     961: 999039 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  993854:   6146 | 1000000:      0 | 1000000:      0 |  456547: 543453 | 1000000:      0 |       0:1000000 |  841748: 158252 |  997409:   2591 |       0:1000000 | 1000000:      0 | 
               Moscow SU Nrise  13136 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  701367: 298633 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |  #############  | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  393904: 606096 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |     899: 999101 |  553996: 446004 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |  863730: 136270 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |   87436: 912564 |  993372:   6628 |       0:1000000 |  995892:   4108 | 
                        sms995  13137 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |   90767: 909233 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 |  759959: 240041 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  606604: 393396 |       0:1000000 |  780262: 219738 |  867821: 132179 |       0:1000000 |  899119: 100881 |       0:1000000 |  409887: 590113 |  261639: 738361 |       0:1000000 |  796396: 203604 |  570009: 429991 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  592344: 407656 |       0:1000000 |  647611: 352389 | 
