                                               SPb SU 4 | Moscow IPT Zzyz | SPbSU “ÂÔÂ¸ ¡‡ |    Moscow SU SG | Moscow SU Trini |  SPb NRU ITMO 1 |          IITU 1 |    MIPT The Sun |   —œ·√” »“ÃŒ #2 |       MSU Tapir | Novosibirsk SU  |         MISIS-3 | Ural FU: It dep |       PetrSU #1 |      Viral Team | SPbSU is a ball |  Siberia United |       Dandelion | Moscow SU Nrise |          sms995 |            NCFU | Izhevsk STU Cyn |             MEX |  Where is Bobik |       SPb SU 37 |           NU #1 |  SPb NRU ITMO 5 |         SPbAU 1 |     Altai STU 1 | Novosibirsk Sta |       SibSUTI 1 | Tomsk PU: teen_ |           TSU-3 |        OmSU ADA |    ÀÂÏÏËÌ„Ë_NSU |      Tomsk PU 2 | Tomsk SU of CSR |       Khakas SU | Lyceum at Tomsk | Tomsk SU of CSR | Siberian Pandas |       DreamTeam |            WARP | Novosibirsk SU  |             LVA |    omsk_omstu_2 |        sibsuti2 | Tomsk SU of CSR |      ASU_team_1 | Per Duck: Bomb  |       God knows | 
                                                  13117 |           13118 |           13119 |           13120 |           13121 |           13122 |           13123 |           13124 |           13126 |           13127 |           13128 |           13129 |           13130 |           13131 |           13132 |           13133 |           13134 |           13135 |           13136 |           13137 |           13139 |           13140 |           13141 |           13142 |           13143 |           13144 |           13145 |           13147 |           13149 |           13150 |           13151 |           13152 |           13153 |           13154 |           13155 |           13156 |           13157 |           13158 |           13159 |           13160 |           13161 |           13162 |           13163 |           13164 |           13165 |           13167 |           13168 |           13169 |           13170 |           13171 |           13172 | 
                          NCFU  13139 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  117212: 882788 | 1000000:      0 | 1000000:      0 |       0:1000000 |  910394:  89606 |       0:1000000 |  997380:   2620 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 | 1000000:      0 |  998353:   1647 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  998353:   1647 |  900892:  99108 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  611910: 388090 |       0:1000000 |  493359: 506641 | 1000000:      0 |       0:1000000 |  737765: 262235 |  740702: 259298 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  883943: 116057 |       0:1000000 | 1000000:      0 | 
     Izhevsk STU CynepMyTaHTbl  13140 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  120658: 879342 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |   90083: 909917 |       0:1000000 |       0:1000000 |       0:1000000 |  108080: 891920 |       0:1000000 |  347195: 652805 |       0:1000000 |   94828: 905172 | 
                           MEX  13141 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  494369: 505631 | 1000000:      0 |  #############  |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  855638: 144362 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
                Where is Bobik  13142 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |    1698: 998302 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |     826: 999174 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |    1718: 998282 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  897498: 102502 |       0:1000000 | 1000000:      0 | 
                     SPb SU 37  13143 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |  868110: 131890 |       0:1000000 |  896618: 103382 |       0:1000000 |  904986:  95014 |  897100: 102900 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |  887365: 112635 |  755535: 244465 |       0:1000000 |       0:1000000 | 1000000:      0 |  487478: 512522 |  998353:   1647 |       0:1000000 |  885435: 114565 | 
                         NU #1  13144 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  #############  | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |  999114:    886 | 1000000:      0 |  888268: 111732 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |  763699: 236301 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
                SPb NRU ITMO 5  13145 |       0:1000000 | 1000000:      0 |       0:1000000 |  101278: 898722 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |  355913: 644087 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  583982: 416018 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |  999094:    906 | 1000000:      0 |       0:1000000 |  #############  | 1000000:      0 | 1000000:      0 |  497717: 502283 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |  907188:  92812 |  998205:   1795 |       0:1000000 | 1000000:      0 | 
                       SPbAU 1  13147 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |    3257: 996743 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
                   Altai STU 1  13149 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |  133574: 866426 |  876133: 123867 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  998174:   1826 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  999110:    890 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  891818: 108182 |       0:1000000 | 1000000:      0 | 
Novosibirsk State University 2  13150 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |  853268: 146732 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |  998336:   1664 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 |  879955: 120045 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  998353:   1647 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  997531:   2469 |       0:1000000 | 1000000:      0 | 
                     SibSUTI 1  13151 |       0:1000000 | 1000000:      0 |       0:1000000 |    3094: 996906 |       0:1000000 |    3490: 996510 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |    2475: 997525 |     855: 999145 |       0:1000000 |       0:1000000 |       0:1000000 |  294972: 705028 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  764962: 235038 |       0:1000000 |     801: 999199 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |    3223: 996777 |  #############  |  112245: 887755 |     867: 999133 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |  877870: 122130 | 1000000:      0 |       0:1000000 |    2662: 997338 |       0:1000000 |  533270: 466730 | 1000000:      0 |       0:1000000 |  277832: 722168 | 
            Tomsk PU: teen_sux  13152 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  881438: 118562 | 1000000:      0 | 1000000:      0 |  999127:    873 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |  779894: 220106 |  #############  | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  999092:    908 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  123560: 876440 |  717622: 282378 |  995074:   4926 |       0:1000000 |  779070: 220930 | 
                         TSU-3  13153 |       0:1000000 |  324144: 675856 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  879276: 120724 |    7506: 992494 |  346473: 653527 |  427746: 572254 |       0:1000000 |  775658: 224342 |       0:1000000 |       0:1000000 |  320304: 679696 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 |       0:1000000 |  429508: 570492 | 1000000:      0 |  541985: 458015 |       0:1000000 |  291589: 708411 |  728738: 271262 |       0:1000000 |  272038: 727962 |       0:1000000 |       0:1000000 |   90662: 909338 |       0:1000000 |       0:1000000 |  446352: 553648 |       0:1000000 |  115166: 884834 | 
                      OmSU ADA  13154 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
                  ÀÂÏÏËÌ„Ë_NSU  13155 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |  #############  | 1000000:      0 | 1000000:      0 |  999145:    855 |       0:1000000 | 1000000:      0 |  745746: 254254 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |  357778: 642222 |  123586: 876414 |  891753: 108247 |       0:1000000 |       0:1000000 | 
                    Tomsk PU 2  13156 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  102956: 897044 |       0:1000000 |  895091: 104909 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  313406: 686594 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  110806: 889194 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 |       0:1000000 |       0:1000000 |  325323: 674677 |       0:1000000 |       0:1000000 |  725398: 274602 |  109470: 890530 |       0:1000000 |       0:1000000 | 1000000:      0 |   93773: 906227 |  563636: 436364 |       0:1000000 |       0:1000000 | 
   Tomsk SU of CSR 1:Blackjack  13157 |       0:1000000 |  999174:    826 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |  #############  |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  901328:  98672 |  623256: 376744 |  493409: 506591 |  376623: 623377 |       0:1000000 |   98717: 901283 | 
                     Khakas SU  13158 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |     668: 999332 |       0:1000000 |       0:1000000 |  453032: 546968 |     815: 999185 |       0:1000000 |       0:1000000 |    1300: 998700 |       0:1000000 |     907: 999093 | 1000000:      0 |       0:1000000 | 1000000:      0 |  678697: 321303 |     670: 999330 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |  420443: 579557 |       0:1000000 |     822: 999178 |       0:1000000 |       0:1000000 |  347670: 652330 |       0:1000000 |  696189: 303811 | 
          Lyceum at Tomsk PU 1  13159 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  998353:   1647 | 1000000:      0 | 1000000:      0 |  204301: 795699 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |    1344: 998656 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  999176:    824 |  #############  | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
            Tomsk SU of CSR #2  13160 |       0:1000000 |    5014: 994986 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  209567: 790433 |     770: 999230 |       0:1000000 | 1000000:      0 |       0:1000000 |  683816: 316184 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  573864: 426136 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |     903: 999097 |  108919: 891081 |       0:1000000 |  166801: 833199 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  #############  |  356093: 643907 |  114921: 885079 |  504845: 495155 |  383562: 616438 |       0:1000000 |       0:1000000 |  258869: 741131 |       0:1000000 |  538039: 461961 |       0:1000000 |   94519: 905481 | 
               Siberian Pandas  13161 |       0:1000000 |  486210: 513790 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  530425: 469575 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  611111: 388889 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  869565: 130435 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  257790: 742210 |       0:1000000 |  162420: 837580 |  781391: 218609 |  437372: 562628 |       0:1000000 |       0:1000000 |  628947: 371053 |  #############  |       0:1000000 |  552586: 447414 |       0:1000000 |       0:1000000 |       0:1000000 |  898949: 101051 |       0:1000000 |  774486: 225514 |       0:1000000 |  700544: 299456 | 
                     DreamTeam  13162 | 1000000:      0 | 1000000:      0 |     684: 999316 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |     580: 999420 |     762: 999238 |       0:1000000 | 1000000:      0 |    2676: 997324 |     840: 999160 |     664: 999336 |       0:1000000 |       0:1000000 | 1000000:      0 |    8000: 992000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |     665: 999335 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |     641: 999359 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  853579: 146421 |    1609: 998391 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 |  887021: 112979 |     766: 999234 | 1000000:      0 | 1000000:      0 |     721: 999279 | 1000000:      0 |    1585: 998415 | 1000000:      0 | 
                          WARP  13163 |       0:1000000 |  639296: 360704 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  528656: 471344 |       0:1000000 |       0:1000000 |  461195: 538805 |   94909: 905091 |  263041: 736959 |       0:1000000 |       0:1000000 |  122061: 877939 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  729991: 270009 |       0:1000000 |  956102:  43898 |  776392: 223608 |  154589: 845411 |       0:1000000 |       0:1000000 |  649092: 350908 |  261947: 738053 |       0:1000000 |  #############  |  290590: 709410 |       0:1000000 |       0:1000000 |  233402: 766598 |   98221: 901779 |  471081: 528919 |       0:1000000 |  749354: 250646 | 
              Novosibirsk SU 3  13164 |       0:1000000 |  884319: 115681 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  998160:   1840 |  125224: 874776 | 1000000:      0 |       0:1000000 |  100564: 899436 |  438455: 561545 |  705128: 294872 |  907706:  92294 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  737103: 262897 |       0:1000000 | 1000000:      0 |  761678: 238322 | 1000000:      0 |   93259: 906741 |       0:1000000 | 1000000:      0 |  899814: 100186 |       0:1000000 |  750000: 250000 |  #############  |  444056: 555944 | 1000000:      0 |       0:1000000 |  135113: 864887 |  857393: 142607 |       0:1000000 |  556962: 443038 | 
                           LVA  13165 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |  120812: 879188 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |  106270: 893730 | 1000000:      0 |       0:1000000 |  246073: 753927 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  597360: 402640 |       0:1000000 | 1000000:      0 | 1000000:      0 |  111637: 888363 |  898876: 101124 |  576287: 423713 |  #############  | 1000000:      0 |  889744: 110256 |  716944: 283056 | 1000000:      0 | 1000000:      0 |  742453: 257547 | 
                  omsk_omstu_2  13167 |       0:1000000 |  889299: 110701 |  876116: 123884 |       0:1000000 |  492918: 507082 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 |       0:1000000 |  250840: 749160 |       0:1000000 |  153450: 846550 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |  994334:   5666 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 |  328173: 671827 |       0:1000000 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |  #############  | 1000000:      0 |       0:1000000 |  631728: 368272 |       0:1000000 |  608486: 391514 | 
                      sibsuti2  13168 | 1000000:      0 | 1000000:      0 |  574215: 425785 |  105046: 894954 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  995844:   4156 |   91806: 908194 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  #############  | 1000000:      0 | 1000000:      0 |       0:1000000 | 1000000:      0 | 
              Tomsk SU of CSR3  13169 | 1000000:      0 |  866044: 133956 |       0:1000000 |       0:1000000 |       0:1000000 |  905537:  94463 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |  796703: 203297 |  385875: 614125 | 1000000:      0 |       0:1000000 |  878968: 121032 |       0:1000000 |  774443: 225557 |  737544: 262456 | 1000000:      0 | 1000000:      0 |  531769: 468231 | 1000000:      0 |       0:1000000 |       0:1000000 |  897179: 102821 |       0:1000000 | 1000000:      0 |  742944: 257056 |  564077: 435923 |  879048: 120952 |       0:1000000 |       0:1000000 |  777406: 222594 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  760408: 239592 |       0:1000000 | 1000000:      0 | 1000000:      0 | 1000000:      0 |  897498: 102502 |  750206: 249794 |  110390: 889610 | 1000000:      0 |       0:1000000 |  #############  | 1000000:      0 | 1000000:      0 |  889600: 110400 | 
                    ASU_team_1  13170 |       0:1000000 |  889192: 110808 |  140051: 859949 |       0:1000000 |       0:1000000 |       0:1000000 |  231343: 768657 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  408397: 591603 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  449134: 550866 |       0:1000000 |       0:1000000 | 1000000:      0 |       0:1000000 | 1000000:      0 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |     667: 999333 |  102443: 897557 |   63763: 936237 |  569079: 430921 |       0:1000000 |       0:1000000 |  999164:    836 |  569528: 430472 |  366632: 633368 |       0:1000000 |  803114: 196886 |   96346: 903654 |       0:1000000 |  279798: 720202 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |       0:1000000 |  #############  |       0:1000000 |  201389: 798611 | 
